index,image_link,group_id,ocr_text
81578,https://m.media-amazon.com/images/I/610apmjypyL.jpg,311997,"[""30cm"", ""63cm"", ""20cm"", ""42cm"", ""4.1cm"", ""20cm"", ""2cm"", ""28cm""]"
120463,https://m.media-amazon.com/images/I/71WGncjrqQL.jpg,355666,"[""238g"", ""T"", ""4.4cm"", ""6.7cm"", ""11.6cm""]"
89428,https://m.media-amazon.com/images/I/6158kNWFcSL.jpg,407808,"[""Product Specifications"", ""3/4\""MPT"", ""Weight:5.3 pounds"", ""Dimensions:13in*8.5in*8.5in"", ""Capacity:2.1G"", ""Factory precharge:12 PSIG"", ""TT FLEX"", ""Max.working pressure:100 PSIG"", ""2.1 ga"", ""Max.operating temperature:240F""]"
53428,https://m.media-amazon.com/images/I/51Zj1+VgNTL.jpg,267482,"[""Dresdner"", ""Essewz"", ""Since1910"", ""FEELNATURALLY HEALTHY"", ""Deep Relaxation"", ""MELISSALAVENDER"", ""relaxing bath with"", ""natural essential oils"", ""Bain delassant aux hulles essentielles naturelles"", ""Mellsse-Lavande"", ""e60g/Net wt.2.1oz""]"
41007,https://m.media-amazon.com/images/I/51M9bDawyaL.jpg,245652,"[""s aam"", ""5.1 in / 13 cm""]"
110270,https://m.media-amazon.com/images/I/61UWsMvQfqL.jpg,219211,"[""FSPGROUPINC"", ""Switching Power Supply"", ""MODELNO/FSP300-60LG-5K/"", ""AC INPUT"", ""100-240V~,6-3A,60-50Hz"", ""+3.3V"", ""+5V"", ""+12V1"", ""+12V2"", ""+5Vsb"", ""-12V"", ""DCOUTPUT"", ""16.0A"", ""18.0A"", ""15.0A"", ""15.0A"", ""3.0A"", ""0.5A"", ""130WMax"", ""Max Wattage"", ""281.5WMax"", ""Total cutput continuous shall not exceed"", ""300W"", ""cus"", ""I"", ""CEFC"", ""Testod to Comply"", ""SE"", ""E190414"", ""With FCC Standards"", ""R43001"", "".."", ""SAFETY INSTRUCTIONS:"", ""WARNINGI HAZARDOUSAREA"", ""DO NOT REMOVE THE COVER"", ""NO SERVICEABLE COMPONENTS INSIDE."", ""80"", ""REFER SERVICING TO QUALIFIEO SERVICE PERSONNEL"", ""WARNUNGI"", ""GEFAHRENZONE"", ""VOR DEM OFFNEN DES GERATES NETZSTECKER ZEHEN."", ""SICHERHEITSHINWEISE:"", ""PLUS'"", ""KEINE SERVICERELEVANTEN BAUTEILE ENTHALTEN."", ""SERVICEARBEITEN SOLLTEN NUR VON AUTORISIERTEM"", ""BRONZE"", ""FACHPERSONALDURCHGEFUHRT WERDEN."", ""MADENCHNA"", ""BALL BEARING FAN"", ""Active PFC/RoHS"", ""6LL1372102GPJL""]"
77908,https://m.media-amazon.com/images/I/61+MNo7OtqL.jpg,524117,"[""Product Information"", ""30.5cm/12in"", ""Width: 18cm/7.08in""]"
76434,https://m.media-amazon.com/images/I/51z0StIIP3L.jpg,347404,"[""20cm"", ""7cm""]"
52508,https://m.media-amazon.com/images/I/51YizX1qhpL.jpg,362818,"[""17cm(6.69inch)"", ""17cm(6.69inch)"", ""6cm(2.36inch)""]"
63402,https://m.media-amazon.com/images/I/51kgvGxuiQL.jpg,365756,"[""8 INCHES"", ""SNHNEESS"", ""20 - 36"", ""INCHES"", ""1 LITER CAPACITY"", ""LONG""]"
